אבו ג'ווייעד (שבט),אבו ג'ווייעד (שבט)  
אלנרג'ס,אום אל-פחם          
אלסבר,אום אל-פחם          
אלסולטאנה,אום אל-פחם          
אלסועדאא,אום אל-פחם          
אלסופסאף,אום אל-פחם          
אלסוק,אום אל-פחם          
אלסינדיאן,אום אל-פחם          
אלסלאם,אום אל-פחם          
אלספא,אום אל-פחם          
אלסריס,אום אל-פחם          
אלע'זלאת,אום אל-פחם          
אלעג'מי,אום אל-פחם          
אלעזה,אום אל-פחם          
אלעטאא,אום אל-פחם          
אלעיון,אום אל-פחם          
אלעין,אום אל-פחם          
אלפאתח,אום אל-פחם          
אלפדאא,אום אל-פחם          
אלפול,אום אל-פחם          
אלפח'ר,אום אל-פחם          
אלפנאר,אום אל-פחם          
אלפראבי,אום אל-פחם          
אלפרדוס,אום אל-פחם          
אלקאדי,אום אל-פחם          
אלקאדסייה,אום אל-פחם          
אלקאהרה,אום אל-פחם          
אלקודס,אום אל-פחם          
אלקנדיל,אום אל-פחם          
אלקרנפול,אום אל-פחם          
אלראפדין,אום אל-פחם          
אלראפה,אום אל-פחם          
אלרבזה,אום אל-פחם          
אלרביע,אום אל-פחם          
אלרודה,אום אל-פחם          
אלרוחה,אום אל-פחם          
אלרומאן,אום אל-פחם          
אלרחמה,אום אל-פחם          
אלריאחין,אום אל-פחם          
אלריחאן,אום אל-פחם          
אלריף,אום אל-פחם          
אלשאכרון,אום אל-פחם          
אלשאע'ור,אום אל-פחם          
אלשועלה,אום אל-פחם          
אלשורוק,אום אל-פחם          
אלשיח' חסין,אום אל-פחם          
אלשרפה,אום אל-פחם          
אלת'נאא,אום אל-פחם          
אלתואסול,אום אל-פחם          
אלתופיק,אום אל-פחם          
אלתוריה,אום אל-פחם          
אלתחריר,אום אל-פחם          
אלתסאמוח,אום אל-פחם          
אלתעמיר,אום אל-פחם          
אפאק,אום אל-פחם          
אריחא,אום אל-פחם          
אשבליה,אום אל-פחם          
בג'דאד,אום אל-פחם          
בדר,אום אל-פחם          
ביברז,אום אל-פחם          
בידר דבאלה,אום אל-פחם          
בירות,אום אל-פחם          
בית אל-מקדס,אום אל-פחם          
בלאל,אום אל-פחם          
ג'אבר אבן חיאן,אום אל-פחם          
ג'נין,אום אל-פחם          
ג'רנאטה,אום אל-פחם          
דמשק,אום אל-פחם          
האג'ר,אום אל-פחם          
ואדי אלנסור,אום אל-פחם          
ואדי ג'סאל,אום אל-פחם          
ואדי מלחם,אום אל-פחם          
זמזם,אום אל-פחם          
ח'אלד אבן אלוליד,אום אל-פחם          
ח'דיג'ה בנת ח'וילד,אום אל-פחם          
חד'יפה,אום אל-פחם          
חטין,אום אל-פחם          
חיפא,אום אל-פחם          
חסאן אבן ת'אבת,אום אל-פחם          
טאהא חסין,אום אל-פחם          
טארק אבן זיאד,אום אל-פחם          
טיבה,אום אל-פחם          
טלעת אלמידאן,אום אל-פחם          
טראבלס,אום אל-פחם          
יאפא,אום אל-פחם          
מאלכ אבן אנס,אום אל-פחם          
מוסעב בן עומיר,אום אל-פחם          
מועאויה,אום אל-פחם          
מכה,אום אל-פחם          
מרכז-אגבריה ומחג'נה,אום אל-פחם          
מרכז-ג'בארין ומחמיד,אום אל-פחם          
נאבלס,אום אל-פחם          
נוח,אום אל-פחם          
ניסבור,אום אל-פחם          
סיבויה,אום אל-פחם          
סלאח אלדין,אום אל-פחם          
סלמאן אלפארסי,אום אל-פחם          
סעד אבן אבי וקאץ,אום אל-פחם          
ספד,אום אל-פחם          
סרפנד,אום אל-פחם          
ע'זה,אום אל-פחם          
עאישה,אום אל-פחם          
עדן,אום אל-פחם          
עומר אלמוח'תאר,אום אל-פחם          
עות'מאן בן עפאן,אום אל-פחם          
